Metric,Value,Test set,Model
loss ,0.058,indoor,Indoor MobileNet
accuracy ,0.981,indoor,Indoor MobileNet
precision ,0.982,indoor,Indoor MobileNet
recall ,0.978,indoor,Indoor MobileNet
auc ,0.999,indoor,Indoor MobileNet
loss ,9.788,outdoor,Indoor MobileNet
accuracy ,0.075,outdoor,Indoor MobileNet
precision ,0.083,outdoor,Indoor MobileNet
recall ,0.075,outdoor,Indoor MobileNet
auc ,0.537,outdoor,Indoor MobileNet
loss ,9.024,outdoor,Combined MobileNet
accuracy ,0.092,outdoor,Combined MobileNet
precision ,0.098,outdoor,Combined MobileNet
recall ,0.092,outdoor,Combined MobileNet
auc ,0.542,outdoor,Combined MobileNet
loss ,0.066,indoor,Combined MobileNet
accuracy ,0.98,indoor,Combined MobileNet
precision ,0.979,indoor,Combined MobileNet
recall ,0.973,indoor,Combined MobileNet
auc ,0.999,indoor,Combined MobileNet
loss ,3.7,indoor,Outdoor MobileNet
accuracy ,0.2327,indoor,Outdoor MobileNet
precision ,0.2779,indoor,Outdoor MobileNet
recall ,0.1945,indoor,Outdoor MobileNet
auc ,0.6798,indoor,Outdoor MobileNet
loss ,4.92,outdoor,Outdoor MobileNet
accuracy ,0.0917,outdoor,Outdoor MobileNet
precision ,0.1087,outdoor,Outdoor MobileNet
recall ,0.0833,outdoor,Outdoor MobileNet
auc ,0.5952,outdoor,Outdoor MobileNet
